location,product,tender_number,tender_name,tender_company
провинция Цзянсу; муниципалитет Су; округ Гусу,экспериментальное оборудование для замены патерналистов проекта,CGN-20221207003-N1,,
Гуандун,"Проект AD-проект 3, блок 4 LOT120C (проверка тендеров)",CGN-20221109005-,,Чайна Инжиниринг лимитед
Порт-оф-Си,проект кондиционирования воздуха на заводе в Порт-о-Пренсе 2023-2026,CGN-20230504005,,Hyundai Song Corp.
Фуцзянь,Проект AB PTR-заменитель,CGN-202306120002,,
провинция Шаньдун,водородный комплекс,SKLOT152CCGN-20230627009,Проект SK LOT152C водородный комплекс,Чайна Хинэ
"Янцзы, провинция Гуандун",Проект строительства тепловых помещений в Институте ядерных исследований в рамках проекта LOT4,CGN-20220927005,Конференция No CGN-20220927005,Чайна инжиниринг лтд.
провинция Шаньдун,мобильный индикатор (или объектива),SKLOT190UCGN-20230530003-N1,,Чайна Хинси
"Шэньчжэнь, провинция Гуандун",трехлетних рамок для проекта с использованием свинцовых сплавов с высоким содержанием свинца,CGN-202303240004-N1,,China Institute of Nuclear
Гуандун,Проект AD проект LOT130J PTR фильтры водоемов и TSP-регулятор,CGN-20230419001,,Чайна Хинонжиниринг лимитед
Гуандун,Проект LOT101Pa проекта LF (Форма давления неядерного уровня),CGN-202307110004,,Чайна Хинси
"Пекин, Тойота",матрицы нового энергоблока 2023 года,CGN-20230627005,,
"Шэньчжэнь, провинция Гуандун",Технические услуги по ремонту стальных бетонных труб,CGN-20230315008,Объявление тендера на техническое обслуживание бетонных труб,Хиндун электрик компани лимитед
"Шэньчжэнь, провинция Гуандун",Проектирование строительных работ в выставочном зале,CGN-20221215002,Объявление конкурса генерального подряда на проектирование строительных работ в выставочном зале,Чайна инжиниринг лтд.
провинция Шаньдун,углеродная стальная труба,CGN-20230329003,SK LOT140Ch,Чайна Хинси
провинция Шаньдун,Проект SK LOT134Ic (TEP и TEU паровые компрессоры) (перезакупка),CGN-202302020001-N1,,
"Пекин, Тойота",Закупка в рамках проекта AIS 2023 года (четвертый пункт),CGN-CGN,Глава I. Объявление предложений,
,,,,
Гуандун,Исследование производительности водонепроницаемых материалов для удаления скальных отверстий в проекте TYR,CGN-202211240004-N1,,
провинция Шаньдун,Проект CW LOT120D,CGN-20230118005,,Чайна Хинон инжиниринг лимитед
провинция Шаньдун,"Проект SK 1, блок 2 LOT190Aa (перезакупка)",CGN-20221027006-N1,,Чайна инжиниринг лтд
"Синьцзян-Уйгурский автономный округ, Баян-Монгольский автономный округ, Жуан",Железнодорожный переключатель для китайской ядерной энергетики,CGN-202307110009,,
"провинция Юньнань, город Таити, Уаньин",кабельный кабель,CGN-20220927002,,Юйцзи Суануэн
Фуцзянь,Проектный блок проекта BZ LOT120Ca (консерваторы),CGN-20230310004,,Чайна Инжиниринг лимитед
"префектура Юньнань, чусуньский автономный округ, префектура Осаки",проект EPC-2 в рамках проекта &lt; &lt; Синдром &gt; &gt; ,CGN-202304140004,,
"Пекин, Тойота",11-й пункт 2-го контрольного набора новых источников энергии 2023 года (заявочный номер проекта: CGN-202305240012),CGN-202305240012,Глава I. Объявление о торгах на одиннадцатый пункт 11 проекта 2023 года по новым источникам энергии (Контингент: CGN-202305240012),Энергетическая компания Dun State Company
Фуцзянь,Проект AB &lt; &lt; ПТР &gt; &gt; (перезапрос),CGN-202306120002-N1,,
"Автономный район Гуанси-Маньчжур, муниципалитет Чжунцзян, южный порт",слияние четвертого кабеля (пункт 2: кабель в Гуанси),CGN-20230531003,Объявление предложений,Ветроэнергетическая компания
"префектура Гуйчжоу, автономный округ Минамбуйи, префектура Гуйтинг",50 МВт ветряная станция,CGN-202307110003,,Ветряная энергетика
Порт-о-де-Гонконг,гидротермальное оборудование,CGN-202210110007,,Чайна Хинон инжиниринг лтд.
