location,product,tender_number,tender_name,tender_company
Гуандун,Услуги по детальной съемке экспериментальных устройств,CGN-20230515004,Объявление о торгах на приобретение услуг по детальной съемке экспериментальных устройств,Чайна Хинэ
город Шэньчжэнь,лабораторное строительство передовых материалов,CGN-20220926009,Объявление конкурса на строительство лаборатории передовых материалов,Чайна Хинан
"Автономный район Гуанси-Маньчжур, муниципалитет Чжунцзян, южный порт",Оборудование в Гуанси,CGN-20230529006,Глава I. Объявление предложений,Южные Ветроэнергетики
"Синьцзян-Уйгурский автономный район и Тэгу, округ Лоуп",1 млн кВт-диапазона Лоупо на базе экологически чистых источников энергии в Синьцзяне,CGN-202307050017,Четверо пунктов проекта генерального подряда на PC в 1 млн кВт-диапазоне Лоупо на базе экологически чистых источников энергии в Синьцзяне (запрос предложений),China Solar Energy Successing Ltd.
провинция Фуцзянь,Регулирование системы RCV,BZLOT190B,BZ проект LOT190Bi RCV Регулирование системы,Чайна Хинэ
провинция Фуцзянь,Основной пар выбрасывает сегрегированные клапаны,CGN-202306150002-N1,BZ проект LOT190Ce Основной пар выбрасывает сегрегированные клапаны,Чайна Хинон инжиниринг лтд.
провинция Фуцзянь,Основной пар выбрасывает сегрегированные клапаны,CGN-20230615002,BZ проект LOT190Ce Основной пар выбрасывает сегрегированные клапаны,Чайна Хинэ
"провинция Хубэй, муниципалитет 10 м, муниципалитет",реализацию проекта &lt; &lt; Интеллектуальная энергетика &gt; &gt; в новом комплексе народной больницы в районе залива,CGN-202212120004,Объявление тендера на реализацию проекта &lt; &lt; Интеллектуальная энергетика &gt; &gt; в новом комплексе народной больницы в районе залива (Контингент: CGN-202212120004),Хэбэй лимитед
"Вэньчжоу, Чжэцзян",Услуги по мониторингу водного хозяйства,CGN-20230718002,Объявление предложений по услугам по мониторингу водного хозяйства в рамках проекта CS,Чайна Хинси
,расширение узла беспроводной сети дата-центра компании &lt; &lt; Джаба &gt; &gt; ,CGN-202210240001-N1,,
Фуцзянь,Проект BZ LOT120Ec (перезапрос),CGN-2023020004-N1,,Чайна инжиниринг лтд.
провинция Фуцзянь,Проект BZ Проект LOT190Bd Language Lot190Bd Language Lockheed and Reconstruction Block,CGN-20230713001,BZ проект LOT190Bd Language Lot190Bd Language Lockheed and Coordination Challenge,Чайна Хинон инжиниринг лтд.
Шаньдун,Проект SK LOT4 (группа аэродинамических сил) (заявка на тендер No CGN-20230206001),CGN-20230206001,,Чайна Хинэ
Ляонин; Далянь; Вау,оборудования и расходных материалов для обычной лабораторной станции &lt; &lt; Красная тропа &gt; &gt; в рамках проекта,CGN-202303020011-N1,,Ляонин Ltd.
Гуандун,водородный кислородный комплекс (переторг),LFL152CCGN-20221028003-N1,Проект LOT152C водородный кислородный комплекс (переторг),Чайна Хинон инжиниринг лтд.
"Гуандун, Чжэцзян",водонапорные насосы для массовых захоронений,CGN-20230420004,Проект AD и проект CS LOT134Aa и водонапорные насосы для массовых захоронений,Чайна Инжиниринг лимитед
"Шэньчжэнь, провинция Гуандун",,CGN-20230315002,,Чайна энтерпрайз
"Синьцзян-Уйгурский автономный округ, Баян-Монгольский автономный округ, Жуан",оборудования GIS на открытом воздухе,CGN-202307040025,,Чайна Хинэ
Гуандун,"Проект AD проект 3, блок 4 LOT120C (консерваторы)",CGN-20221109005,,Чайна Инжиниринг лимитед
Чжэцзян,труба HDPE и приложение,CGN-2022128003,BJ Project LOT140Cl (HDPE трубопроводы и приложения),Чайна Хинси
Гуандун,Устройство для измерения трафика и ограничения потока,CGN-20220928001,,Чайна Инжиниринг лимитед
,,,,
Автономный район Гуанси-Шань,Клапаны ручной сепарации малокалиберного калибра в рамках проекта (перенаправление предложений),CGN-20220928002,Проект BT LOT190Hb NI (перезапрос),Чайна инжиниринг лтд.
"провинция Юньнань, город Юйцзи, округ Яньцзян-хани","фотоэлектрической зоны проекта 50 МВт, а также проект строительства электрического комплекса в зоне электрической связи",CGN-20220927006,,
Гуандун,Сжиженный и жидкий переключатель неядерного класса,56LOT101Lb,"Проект Сухопутный проект , проект Машинный блок (сжиженный и жидкий переключатель неядерного уровня) (номер тендерного проекта: 20230327003)",Чайна инжиниринг лтд.
Автономный район Гуанси-Шань,Проект BT LOT134Ic (TEP и TEU паровые компрессоры),CGN-202211110001,Объявление тендера на строительство новой станции HLF,Чайна Хинэ
Гуандун,"Устройства LOT140Gc, персональные компенсационные устройства для проекта 5, 6",CGN-202302210005,,
"Вэньчжоу, Чжэцзян",Услуги по тестированию качества для третьих сторон проекта CS,CGN-202304230008-N1,,
провинция Шаньдун,Ядерный остров и БОП-Кабельный мост и установка приложений,CGN-20230720008,Проект проекта SK LOT83A Ядерный остров и БОП-Кабельный мост и установка приложений,Чайна инжиниринг лтд.
провинция Шаньдун,клапаны системы,CGN-20230619005-N1,Архипелагические клапаны и системы REN,Чайна инжиниринг лтд
"Синьцзян-Уйгурский автономный округ, Баян-Монгольский автономный округ, Каньон",первый фотоэлектрический подвода,CGN-20230406003,Объявления о торгах,Новая энергетическая компания
Гуанси,Конвертаторы и клапаны обратной связи,CGN-202209220007-N1,Проект BT LOT190G NI Конвертаторы и клапаны обратной связи,Хинонжиниринг лимитед
"Шэньчжэнь, Тайбэй, Янцзян, Порт-оф-Спейн, Нинде, Ва",интеллектуальный пакет 1,CGN-20230630002,,
Шаньдун,Контроль за функционированием системы контроля за водной средой в рамках проекта CW,CGN-20230410001,Объявление о конкурсе на контроль за функционированием системы контроля за водной средой в рамках проекта CW,Сандун Атом
Автономный район Гуанси-Шань; город Порт-о-де-Морт; муниципальный округ,Проект BT LOT7A фильтрует,CGN-202210240007,,Чайна Инжиниринг лимитед
Гуандун,"35kV SVG динамический пакет компенсации за неработанную работу, находящийся в центре контроля над морской ветровой электроэнергией в порту Хучжоу-2",CGN-202211220002,,Ltd.
Шэньчжэнь,Коробка для обработки коробки для подключения к системе RPN проекта,CGN-202210310002,Закупка коробки для обработки коробки для подключения к системе RPN проекта (номер тендера: CGN-202210310002),China Institute of Nuclear
Шаньдун,Закупка стержневых дисков,CGN-20230116002,Проект CW проекта LOT120Ea Закупки стержневых дисков (запрашиваемый номер проекта: CGN-20230116002),Хинонжиниринг лимитед
Гуандун,Закупка динамической системы многократной загрузки (второй тендер),CGN-202305230007-N1,Объявление о втором тендере на строительство новой станции HLF,
Гуандун,Закупка (перезакупка) тендера на строительство в центре управления строительством на морской ветряной электростанции 2 в порту Гуанчжоу,CGN-202212070001-N1,,
Чжэцзян,"Инвентарная система, трубопроводы и материалы для охлаждения оборудования",CGN-20230213002,"Проект BJ LOT160B Инвентарная система, трубопроводы и материалы для охлаждения оборудования",Чайна инжиниринг лтд.
"провинция Джилин, муниципалитет 4 Пин, префектура Сяо",ветряное оборудование,202301060006,Закупка ветряного оборудования для проекта &lt; &lt; Реактивация сельских районов &gt; &gt; в рамках проекта &lt; &lt; Гирин &gt; &gt; ,Лэндз
"Нинде, провинция Фуцзянь",Ежедневное техническое обслуживание и ремонт стальных мостов в рамках проекта BZ,CGN-20230510002,Объявление конкурса на ежедневное обслуживание и укрепление стальных мостов в рамках проекта BZ,Гуанчжоу инжиниринг лтд.
"Синьцзян-Уйгурский автономный округ, Та-Сити, округ Торри",75 MW300 MWh для хранения энергии в башне проекта с 300 МВт ветряной установкой (пункт 1),CGN-202212120001,,Новая энергетическая компания Corp.
Шаньдун,Устройство на Ядерном острове (No тендера: CGN-202304120006),CGN-202304120006,,
"Пекин, Тойота",сбор фотоэлектрических компонентов (1 значок),CGN-202307040016,,
,,,,
"префектура Аньхой, муниципалитет Тяньаньмэнь",оборудования для хранения энергии 286 МВт,CGN-20230608002,Закупка оборудования для хранения энергии 286 МВт в рамках проекта (заказ No CGN-20230608002),China New Energy Angeles Ltd.
Гонконгский автономный округ,Проект по перестройке производственных командных центров в Порт-о-Пренсе,CGN-202304110005,Объявление конкурса на перестройку центра управления производством в Порт-о-Пренсе,
провинция Шаньдун,Проект SK LOT9D и общий насос BOP (No тендера: CGN-20230717001)),CGN-20230717001,Уведомление о торгах,Хинонжиниринг лимитед
"Шэньчжэнь, провинция Гуандун",Система обнаружения без ущерба для проекта,CGN-20221017003,,Чайна Хиросима инк.
Гуанси,Проект BT LOT190Hb NI ручной сепаратор малокалиберного калибра,CGN-20220928002,,Чайна Хинон инжиниринг лтд.
"Немонгольский автономный район, УНИТА, правый флаг Корнея","дороги, платформы и ветряные конструкции",CGN-20221228002,"Объявление тендера на строительство дорог, платформ и ветряных конструкций в районе F с 2 млн.","Новые энергетик , Коул ."
Гуандун,Проект 2PA и PB морской ветровой электростанции Хино,CGN-20230307005,,
материк Китая,Платформа для моделирования разработки предложений,CGN-202210190006-N1,Проектная верификация Платформа для моделирования разработки предложений,Шэньчжэнь Шэньчжэнь Инжиниринг дизайн лтд.
"провинция Джилин, Белый город, Гранд-Ан","Дорога, платформа, ветряная база и коробка",CGN-202301110002,Заказ на изменение основы (пункт 3) (номер тендера: CGN-202301110002),Белая энергетика
материк Китая,кабель и перепроверка кабельного приложения,CGN-20221109001,"Проект AN, BJ, LF проект LOT73Y кабель и перепроверка кабельного приложения",Чайна Хинон инжиниринг лимитед
Гуандун,Закупка строительного оборудования (третий тендер),CGN-20221207001-N2,,
Гуандун,Портативная электростанция,CGN-202301180001-N1,Проект проекта AN LOT70A Портативная электростанция,Хинонжиниринг лимитед
"Пекин, Тойота",шкафы для высоковольтных переключателей,CGN-202304060016,,Чайна Хинэ
Гуандун,Устройство крепления цементной линии LOT130Ia TES в рамках проекта LF,CGN-20221125004,Объявление о торгах на строительство новой станции HLF,
"Пекин, Тойота",Мониторинг и оценка новых источников энергии,CGN-20230524005,Объявление о торгах в рамках второго этапа проекта 2023 года по мониторингу и оценке новых источников энергии,Энергетическая компания Dun State Company
провинция Шаньдун,Приложение к проекту SK LOT140Cd (перезапрос),CGN-202303160015-N1,,
"Гуандун, Чжэцзян, Шаньдун",клапан по регулированию водных систем,CGN-202306250007-N1,"AD, CS и CW Project LOT190Bb для регуляторов водных систем",Чайна инжиниринг лтд.
Гуандун,"Сухой проект 5, блок 6 LOT101La (сжиженный и жидкий переключатель неядерного класса)",CGN-202304230004,,
"Автономный район Гуанси-Шанг, город Лючжоу, муниципалитет",Закупка в рамках проекта &lt; &lt; Ветряная башня &gt; &gt; для проекта &lt; &lt; Наземный ветер &gt; &gt; в Гуанси 2023 года в рамках проекта &lt; &lt; Новая энергетика &gt; &gt; (пункт 2 - Центральная часть Гуанси),CGN-20230608009,Объявление предложений,Чайна Хиросима
провинция Шаньдун,SK-проект LOT190E и RCCM 3 и NC-уровневые клапаны,CGN-202304130005,,Чайна Хинон инжиниринг лтд.
провинция Шаньдун,,CGN-20230330008,,
"Янцзы, провинция Гуандун",Проект по модернизации оборудования,CGN-202301120003-N1,,Чайна Хинэ
"Хэйлунцзян, муниципалитет Хэйэя, 5 крупных городов",200 МВт проект по закупке электрической линии в рамках первого этапа проекта по закупке электрической линии (пункт 1),CGN-20230606002,Объявление тендера на строительство новой станции HLF,
Гуандун; город Уичжоу; округ Уидон,централизованной закупки оборудования для лабораторного оборудования в рамках проекта &lt; &lt; ГЯО &gt; &gt; ,CGN-20220926003,Проект централизованной закупки оборудования для лабораторного оборудования в рамках проекта &lt; &lt; ГЯО &gt; &gt; ,Гуанчжоу энтерпрайз лимитед
Ляонин,,CGN-202306120003,,Ляонин красная тропическая атомная электростанция
Китайская Народная Республика,Долгосрочное соглашение по проектированию морской инженерии на атомных электростанциях,CGN-20230520002,Объявление тендера на долгосрочное соглашение о проектировании морской инженерии на атомной электростанции,Чжэньчжэнь
"Гуанси-Шанг, город Порт-оф-Си, оборонный округ",зеленое здание,CGN-202304130001,Проект генерального подряда на строительство зеленого здания на обоих берегах порта Порт-оф-Си,Чайна Хинэ
"Пекин, Тойота",матрицы комплексной автоматизированной системы электроснабжения 2023 года,CGN-202304060018,,
"провинция Шаньдун, муниципалитет Тайбэя, село",400 МВт для мониторинга и контроля проекта HG30,CGN-CGN,Закупка 400 МВт для мониторинга и контроля проекта HG30 (запрос No: CGN-CGN),
"Ханнань, муниципалитет Запои, округ",Проект по созданию энергетических мощностей EPC,CGN-20230428003,Конференция: CGN-20230428003,
провинция Шаньдун,Главный клапан безопасности паров,SKLOT190AbCGN 20221116003,,Чайна Хинэ
"Тибетский автономный район, район Али, округ Планд",холодные насосы,CGN-20230207003,,Али
"провинция Гуйчжоу, 6 водохозяйственных городов, 6 специальных районов",70 МВт ветряная линия,CGN-202307060012,Закупка 70 МВт ветряной линии в рамках проекта строительства,Чайна Хинэ
Гуандун,Крупный резерв материалов LOT140Cq - нержавеющая стальная труба большого калибра,CGN-20230530005,,
Шаньдун,Устройства охлаждающие насосы,CGN-20221010005,Проект SK LOT134D Устройства охлаждающие насосы,Чайна Хинэ
"Тибетский автономный район, Жиканский район, Лахон",30 МВт дополнительного фотогалереи в рамках проекта EPC,CGN-20230117006,,
"Шэньчжэнь, провинция Гуандун",аналитическое устройство для отслеживания процесса сварки,CGN-20230515003-N1,Закупка (перезагрузка) аналитического устройства для отслеживания процесса сварки в рамках проекта,Чайна атомная энергетика
Шэньчжэнь,Разработка программного обеспечения для расчета проектно-конструкторских работ с использованием многоконвертных панелей,CGN-20230710007,Объявление о торгах на разработку программного обеспечения для топографического проектирования,Чайна Хинэ
"Автономный район Гуанси-Шань, муниципалитет Чинбэя",Основное оборудование для замены джилона в северном районе Хинсицина в рамках проекта,CGN-20230215002,,
