basic_qualification,qualification_requirements,financial_requirements,performance_requirements,credit_requirements,other_requirements,tender_start_date,tender_end_date,receipt_methods,personnel_requirements,trust_requirements,contact_information
"1) Базовая квалификация: участник процедур должен быть зарегистрирован на территории Китайской Народной Республики (за исключением Гонконга, Австралии) и иметь правосубъектность/государство
            и находится в течение срока действия.
            2) Финансовые требования: банк участника торгов имеет хорошее финансовое положение, он не может быть отстранен от работы по приказу о прекращении производства, взятию под стражу или замораживанию имущества
            Ситуация.
            3) Требования к результатам: участник торгов имеет результаты реализации проекта по поставке стержневых стержней для компонентов или поставке оборудования для стыковки компонентов, или контролирует работу бейсбольной группы
            Осуществление проектов по сборке оборудования.
            4) Требование доверия: участники торгов должны иметь хорошую коммерческую репутацию:
            1) В течение почти трех лет (с даты представления тендерной документации) не было подделано ложного заявления о конкурсной торгах, не было сговора.
            Отчеты о нарушениях, зарегистрированных в целях регистрации или подозрений в соучастии в торгах (в зависимости от того, что определено административными органами местного уровня и выше).
            2) В течение почти трех лет (с момента истечения срока представления тендерной документации) участники торгов не должны иметь серьезных и более серьезных аварий безопасности (разделение несчастных случаев)
            Об этом говорится в постановлении Государственного совета No 493.
            3) До истечения срока представления тендерной документации участник процедур не был аннулирован или ограничен участником торгов или соответствующим органом.
            5) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.",,,,,,,,,"2) Технический руководитель: имеет должность среднего и выше.
            3) Сотрудники по вопросам безопасности: сертификация C сертификата безопасности производства в течение срока действия.",,
,,,,,"Надзор за осуществлением данного тендерного проекта осуществляется компанией &lt; &lt; Чайна инжиниринг лимитед &gt; &gt;.
            Для бизнес-консультаций в Шэньчжэне можно обратиться по номеру 4001123838.",,,,,,
"Участники торгов должны быть зарегистрированы на территории Китайской Народной Республики (за исключением Гонконга, Австралии) и иметь статус юридического лица. Срок действия; участник конкурса должен быть сертифицирован ISO 9000 или его эквивалентной системой менеджмента качества.",Участник торгов - предприятие по изготовлению ветряных генераторов с возможностью своевременного завершения поставок в течение короткого периода времени в соответствии с запросом предложений. Потенциал.,Требование о регистрации средств не ниже юаня или эквивалентной суммы иностранной валюты.,"Участники торгов должны были производить, поставлять и эксплуатировать ветряные генераторы.","Участник торгов должен иметь хорошее банковское письмо, он не должен быть осужден за прекращение работы, взятие на себя имущества, замораживание, банкротство. Состояние.","1) В рамках проекта не принимаются предложения консорциума. 2) В данном проекте не принимаются заявки от агента. (3) Юридическим представителем является два или более юридических лица одного и того же лица, материнская компания и ее дочерняя компания, холдинговая компания. Принимает участие в торгах по данному проекту. (4) Вышеуказанные требования должны быть выполнены одновременно, и все представленные документы должны быть подлинными и соответствовать требованиям участников процедур, Если необходимо, чтобы соответствующие документы, представленные участниками торгов, были проверены на ежегодной основе, убедитесь в том, что представленные копии документов были проверены на ежегодной основе и представлены соответствующие свидетельства. Документация. (5) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.",26 декабря 2022 года в 17 ч. 00 м.,"3 января 2023 года, 17 ч. 00 м.","Участники торгов должны быть размещены на платформе электронной коммерции China and China (https://ecp.cgnpc.com.cn) в течение срока действия тендерной документации. Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов. Стоимость тендерной документации по проекту составляет 0 долл. Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы. Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Информация о лицензиях, выданных участникам торгов на момент регистрации Изменения, внесенные при регистрации, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. Из-за несвоевременного представления заявок Новая информация о регистрации влияет на торги, и участник торгов берет на себя ответственность. После успешной регистрации участник торгов загрузит электронную версию тендерной документации в режиме онлайн, и для этого проекта не требуется загрузка приложения.",,,
"участник процедур, зарегистрированный на территории Китайской Народной Республики в соответствии с Законом Китайской Народной Республики о компаниях, имеет право
            Законодательная власть, предприятия, которые могут предложить продукты и услуги для проекта.","Участники торгов должны быть готовы к проектированию, разработке и производству технологий для синхронизации камеры быстрого реагирования Q/GDW 11588-2016
            10-300Mvar - новая система управления распределением (DCS), статические трансформаторы (SFC),
            Технический потенциал для установки магнитных систем.",наличие хорошего банковского и коммерческого доверия.,"В течение почти 5 лет (2018-2022 гг.) участники торгов должны иметь новую систему управления распределением камер класса 10Mvar-300Mvar.
            (DCS), статические преобразователи электротока (SFC), магнитные системы для оптических камер, все контракты на оборудование в стране или индикаторы эффективности.",,"1) Проект не принимает консорциума.
            2) В данном проекте не принимаются заявки от агента.
            3) Участники торгов должны иметь финансовые, технические и производственные возможности, необходимые для исполнения контракта, и могут быть поставлены в соответствии с требованиями тендерной документации;
            Положения тендерной документации могут быть выполнены и выполнены.
            4) Юридическим представителем является два или более юридических лица одного и того же лица, материнская компания и ее дочерняя компания, холдинговая компания.
            Принимает участие в торгах по данному проекту.
            5) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.","23 апреля 2023 года, 17:00",08 мая 2023 года 17:00,"1) Участники торгов должны быть размещены на платформе электронной коммерции China and China (https://ecp.cgnpc.com.cn) в течение срока действия тендерной документации
            Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов.
            2) Стоимость тендерной документации по проекту составляет 0 долл.
            3) Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы.
            Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Информация о лицензиях, выданных участникам торгов на момент регистрации
            Изменения, внесенные при регистрации, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. Из-за несвоевременного представления заявок
            Новая информация о регистрации влияет на торги, и участник торгов берет на себя ответственность.",,,
,,,,,"1) Проект не принимает консорциума.
            2) В данном проекте не принимаются заявки агентов.
            3) Подразделение возглавляется двумя или более предприятиями одного и того же лица (компаниями), материнской компанией, дочерней компанией и ее холдингом
            Компании; два или более предприятий (компания), которые имеют прямые или косвенные отношения между холдингом или управлением.
            В одном из вышеупомянутых случаев торги могут проводиться только одним из них. В случае одновременного проведения торгов несколько участников
            Человек будет отказывать одновременно.
            4) Дочерняя компания любого уровня, которая является одной и той же материнской компанией, но которая является юридическим представителем и действует независимо друг от друга;
            За участие в торгах по этому проекту могут участвовать только не более двух дочерних компаний. Если появляется много семей
            В тех случаях, когда компания регистрируется одновременно, участнику торгов будет предложено принять участие в торгах по этому проекту в качестве одной из первых зарегистрированных дочерней компании.
            5) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.",18 мая 2023 года в 17 ч. 30 м.,25 мая 2023 года 17 ч. 30 м.,"1) Участники торгов должны быть размещены на платформе электронной коммерции China and China (https://ecp.cgnpc.com.cn) в течение срока действия тендерной документации
            Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов.
            2) Стоимость тендерной документации по проекту составляет 0 долл.
            3) Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы.
            Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Лицензия, выданная участникам торгов на момент регистрации
            При внесении изменений в учетную запись и регистрации членов, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. Поскольку участник торгов не смог
            В тех случаях, когда информация о регистрации обновлена, что влияет на торги, участник торгов берет на себя ответственность.
            4) После успешной регистрации участник торгов загрузит электронную версию тендерной документации в режиме онлайн, и для этого проекта не требуется загрузка приложения.
            5) Заявители должны завершить регистрацию тендера в течение срока действия тендерной документации, а просроченная система будет автоматически закрыта. В соответствии с вышеуказанными требованиями
            Участник торгов, представивший заявку и загрузивший тендерную документацию, не может участвовать в торгах, а участник торгов имеет право отказать в получении тендерной документации, взимаемой, в соответствии с
            Обработка недействительных документов.",,,
,,доклад о финансовой ревизии за последние три года (2019-2021 годы).,,,"1) Проект не принимает консорциума.
            2) Участники торгов должны пройти серию ISO 9000, ISO 14000, ISO 45000 или одинаковое качество, окружающую среду, гигиену труда и безопасность труда
            Сертификация системы.
            3) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.3.",02 ноября 2022 года в 17:00,11 ноября 2022 года в 17:00,"1) Участники торгов должны проводить свои тендерные заявки на платформе электронной коммерции в Китае и Китае (https://ecp.cgnpc.com.cn) в течение периода времени с момента получения тендерной документации
            Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов.
            2) Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы.
            Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Информация о лицензии, если участник торгов записал
            При регистрации членов меняются, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. В связи с несвоевременным обновлением заявок
            В тех случаях, когда информация затрагивает участников торгов, участник процедур берет на себя ответственность.
            3) После успешной регистрации участника торгов участник торгов будет иметь право загружать электронные тендерные документы онлайн.
            5) Участники торгов должны завершить регистрацию тендерных заявок и загрузить тендерную документацию в срок, в течение которого будет получена тендерная документация, а система просроченных заявок будет
            Закрытие. Участники торгов, которые не представили тендерную заявку и не загрузили тендерную документацию в соответствии с вышеуказанными требованиями, не могут участвовать в торгах, а участники торгов имеют право отклонить тендерную заявку.
            Документы, полученные в результате недействительных торгов.",,,
"предприятие, зарегистрированное на территории Китайской Народной Республики (без учета порта Австралии) и имеющее независимую правосубъектность.","Участники торгов должны иметь одну из следующих качеств:
1) комплексное инженерное наблюдение;
2) Контроль за электроэнергетикой уровня II и выше.","аудиторские заключения и финансовые ведомости, подготовленные зарегистрированной аудиторской фирмой за последние три года (2019-2021 годы)
(балансовая ведомость, ведомость прибылей, ведомость движения денежной наличности и приложение).","в течение последних трех лет (2020-2022 гг.) участники торгов имели два и более аналогичных проекта (электротехника)
Контроль за работой.",,"1) Проект не принимает консорциума. Заявление о регистрации консорциума: два или более обычных члена могут объединяться
Заявки на регистрацию членов консорциума, поданные головной организацией от имени консорциума, через платформу электронной коммерции Китая и Китая - поставщик
После принятия аудита Управление становится членом консорциума.
2) В данном проекте не принимается субконтракт.
3) Участники торгов имеют хорошую банковскую и коммерческую репутацию, не находятся в подчинении, не могут быть привлечены к ответственности за прекращение деятельности, захват имущества, замораживание, банкротство
Состояние.
4) В течение почти трех лет (в зависимости от срока действия) участник процедур не принимается:
а) В случае, если участник торгов мошенничает с тендерной маркой, серьезным нарушением, существенными проблемами качества работ или по своей собственной инициативе расторгнет любой контракт
Форма.
b) В ходе конкурсных торгов участник торгов ведет учет нежелательных действий или подозревается в соучастии в торгах и проводит расследование компетентными органами
.
5) В надзорных проектах, которые были осуществлены участниками торгов в течение последних трех лет (в зависимости от срока действия тендера), не сообщалось о качестве или безопасности
Ситуация.
(6) Юридическим представителем является два или более предприятия одного и того же лица (компания); материнская компания, дочерняя компания и ее холдинг.
Компании; две или более компаний (компания), которые имеют прямые или косвенные отношения между ними. Обстоятельства, описанные выше
Заявки на торги могут подавать только одна из компаний.",,,,"1) Главный инженер: национальный регистратор инженеров-инженеров, звание среднего и выше, электрическая инженерия или инженерно-строительная специальность,
Работал инженером-инженером в двух и более аналогичных проектах (электротехника) и имеет 5-летний опыт работы в области контроля и управления.
(Справка о результатах работы).
2) Инженер по вопросам безопасности 1: Зарегистрированный инженер по вопросам безопасности, звание среднего и выше, с двумя и более крупными и средними проектами
Опыт работы (справка о результатах работы).",,
,"Участники торгов должны быть зарегистрированы на территории Китайской Народной Республики (за исключением Гонконга, Австралии) и иметь статус юридического лица.
            Участники торгов должны быть налогоплательщиками.
            Участники торгов должны пройти сертификацию в соответствии с ISO 9000 или эквивалентной системой менеджмента качества, которая находится в действительности.
            Участники торгов должны иметь лицензию на производство специального оборудования Китайской Народной Республики, которая будет охватывать клапаны, клапаны и клапаны, и находится в срок действия.",,,,,,,,,,
,,,"1) Участники торгов должны иметь опыт работы на уровне IV и выше в проведении испытаний, а также профессиональный контракт на электроинженерные работы на уровне 3 и выше и проведение испытаний на уровне 4 и выше.
            2) Финансовые требования: предоставление отчета о финансовой ревизии за последние три года (2019-2021 годы).
            3) Для аналогичного опыта (эффективности) требуется выполнение двух и более аналогичных проектов за последние три года, где уровень электрического напряжения превышает 35 кВ. Подтверждение результатов работы должно быть представлено в основной странице контракта (обложка контракта, подпись, объем контракта) в виде копии и соответствующей документации, подтверждающей выполнение контракта.
            5) Требование доверия: не находится в пределах и в течение срока, в течение которого компания &quot;Чайна Хиросима лтд.&quot; ограничивает свои предложения.
            6) Кадровые требования: (1) Менеджер проекта должен иметь сертификат регистрации строительного мастера первого уровня (с использованием электронного сертификата регистрации, действительного в течение 180 дней) и сертификат соответствия требованиям безопасности производства. (2) Технический руководитель должен иметь должность среднего и выше. (3) Сотрудники по вопросам безопасности должны иметь сертификацию C сертификата безопасности производства.
            7) Другие требования подробно изложены в главе II, раздел 1.4.3.",,,,,,,,
"Участник процедур должен быть зарегистрирован на территории Китайской Народной Республики (за исключением Гонконга, Австралии) и иметь статус независимого юридического лица
            промышленности. Участники торгов должны иметь лицензию на безопасное производство и находиться в течение срока действия.","Участники торгов должны иметь одну из следующих качеств:
            1) генеральный контракт на строительство электротехники второго уровня и выше;
            2) Генераторы строительных работ первого уровня с общим контрактом на строительство, а также муниципальные общественные работы второго уровня и выше или автомагистралей
            ii) контракт на инженерно-техническое обеспечение уровня II и выше;
            3) Профессиональный контракт по фундаментальному проектированию на уровне 1 с общим контрактом на муниципальные строительные работы на уровне 2 и выше или на автомагистралях
            Профессиональная контрактная работа по контрактам категории II и выше.",доклад о финансовой ревизии за последние три года (2019-2021 годы).,,,"1) Проект не принимает консорциума.
            2) Участники торгов должны пройти серию ISO 9000, ISO 14000, ISO 45000 или одинаковое качество, окружающую среду, гигиену труда и безопасность труда
            Сертификация системы.
            3) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.3.",,,,"(1) Менеджер проекта: имеет сертификат регистрации строительного мастера первого уровня (при условии наличия электронного сертификата регистрации, который должен быть использован в электронном реестре)
            Действует в течение 180 дней и подписывается лично в отделе личной подписи, а регистрационный орган должен соответствовать наименованиям участника процедур и иметь срок действия
            Сертификат B сертификата безопасности производства.
            2) Технический руководитель: имеет должность среднего и выше.
            3) Сотрудники по вопросам безопасности: сертификация C сертификата безопасности производства в течение срока действия.",,
,"1) Участники торгов должны иметь опыт работы на уровне II и выше в проведении испытаний, а также на уровне IV и выше в проведении испытаний.
            2) Участники торгов должны иметь профессиональный контракт на электроинженерные работы уровня 3 и выше, а также проводить испытания на уровне 4 и выше.
            3) Финансовые требования: Участники торгов должны представлять отчеты о финансовой ревизии за период с 2019 по 2022 год, которые являются произвольными в течение трех лет подряд.
            4) Для аналогичных видов инженерного опыта (результаты) требуется:",,,,,,,,,,
"Участник процедур должен быть зарегистрирован на территории Китайской Народной Республики (за исключением Гонконга, Австралии) в качестве юридического лица/государственного отдела. Участники торгов должны иметь лицензию на безопасное производство и находиться в течение срока действия.",Генеральный контракт на электротехническое строительство уровня II (уровень II) и выше.,Участники торгов должны представить доклад о финансовой ревизии за последние четыре года (без учета текущего года) в течение трех лет подряд.,"За последние три года (без учета текущего года) было выполнено два и более аналогичных проектных проекта, в которых объем аналогичных проектов превысил 50 МВт.",Компания &lt; &lt; Чайна-Групп &gt; &gt; не находится в ограниченном диапазоне и сроках проведения торгов.,"1) Проект не принимает консорциума. 2) Участники торгов должны пройти серию ISO 9000, ISO 14000, ISO 45000 или одинаковое качество, окружающую среду, гигиену труда и безопасность труда Сертификация системы.","02 июня 2023 года, 17:00","12 июня 2023 года, 17:00","Участники торгов должны проводить свои тендерные заявки на платформе электронной коммерции в Китае и Китае (https://ecp.cgnpc.com.cn) в течение периода времени с момента получения тендерной документации Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов. 2) Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы. Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Информация о лицензии, если участник торгов записал При регистрации членов меняются, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. В связи с несвоевременным обновлением заявок В тех случаях, когда информация затрагивает участников торгов, участник процедур берет на себя ответственность.","1) Менеджер проекта: имеет сертификат регистрации строительного мастера первого уровня (при условии наличия электронного сертификата регистрации, который должен быть использован в электронном реестре) Срок действия составляет 180 дней) и зарегистрированная единица должна соответствовать наименованиям участника торгов и иметь сертификат B сертификата безопасности производства в течение срока действия. 2) Технический руководитель: имеет должность среднего и выше. 3) Сотрудники по вопросам безопасности: сертификация C сертификата безопасности производства в течение срока действия.",,
"Участник процедур должен быть зарегистрирован на территории Китайской Народной Республики (за исключением Гонконга, Австралии) и иметь статус юридического лица
в период действия.
Участники торгов должны быть сертифицированы в соответствии с ISO 9000 или его эквивалентной системой менеджмента качества и находятся в процессе действия;","Лицензия на производство гражданского оборудования по ядерной безопасности Китайской Народной Республики, выданная Государственным управлением по ядерной безопасности, которое охватывает оборудование, закупленное в соответствии с настоящим пакетом
Подкатегории оборудования - контейнеры давления, уровень ядерной безопасности должен охватывать уровень ядерной безопасности 2, а лицензия на производство - в течение срока действия (или взятие).
Уведомления или официальное свидетельство, выданное Государственным управлением по ядерной безопасности (НУЯБ)) и лицензированные виды деятельности могут охватывать эту технику
условия.",,"В течение последних пяти лет участники торгов должны иметь не менее двух контейнеров с давлением, изготовленных по стандарту RCC-M (оборудование было поставлено) или поставляется вместе
(Оборудование производится).",,"1) Проект не принимает консорциума.
2) В данном проекте не принимаются заявки от агента.
3) Подразделение возглавляется двумя или более предприятиями одного и того же лица (компаниями), материнской компанией, дочерней компанией и ее холдингом
Компании; два или более предприятий (компания), которые имеют прямые или косвенные отношения между холдингом или управлением.
В одном из вышеупомянутых случаев торги могут проводиться только одним из них. В случае одновременного проведения торгов несколько участников
Человек будет отказывать одновременно.
4) Дочерняя компания любого уровня, которая является одной и той же материнской компанией, но которая является юридическим представителем и действует независимо друг от друга;
За участие в торгах по этому проекту могут участвовать только не более двух дочерних компаний. Если появляется много семей
В тех случаях, когда компания регистрируется одновременно, заинтересованные стороны выберут две из первых зарегистрированных дочерних компаний для участия в торгах по проекту.
(5) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.",13 февраля 2023 года в 08 ч. 00 м.,20 февраля 2023 года 17 ч. 00 м.,"1) Участники торгов должны быть размещены на платформе электронной коммерции China and China (https://ecp.cgnpc.com.cn) в течение срока действия тендерной документации
Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов.
(2) Стоимость тендерной документации по проекту составляет 0 долл.
3) Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы.
Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Лицензия, выданная участникам торгов на момент регистрации
При внесении изменений в учетную запись и регистрации членов, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. Поскольку участник торгов не смог
В тех случаях, когда информация о регистрации обновлена, что влияет на торги, участник торгов берет на себя ответственность.
(4) После успешной регистрации участник торгов загрузит электронную версию тендерной документации в режиме онлайн, и для этого проекта не требуется загрузка приложения.
5) Заявители должны завершить регистрацию тендера в течение срока действия тендерной документации, а просроченная система будет автоматически закрыта. В соответствии с вышеуказанными требованиями
Участник торгов, представивший заявку и загрузивший тендерную документацию, не может участвовать в торгах, а участник торгов имеет право отказать в получении тендерной документации, взимаемой, в соответствии с
Обработка недействительных документов.","1) Менеджер проекта: имеет свидетельство о регистрации строительного мастера первого уровня (специализация: гидроэлектроэнергия) (предоставление электронного реестра)
Сертификат электронной регистрации должен быть выдан в течение 180 дней с момента его использования, а регистрационный номер должен соответствовать наименованиям участника торгов и иметь действительный срок
Сертификат сертификата B.
2) Главный инженер проекта: старший инженер, который в период с 1 января 2018 года по конец тендера взял на себя работы по проектированию скважин для гидроэлектроэнергии
Главный сотрудник или технический руководитель или руководитель проекта, который представляет документы.
3) Генеральный директор по вопросам безопасности проекта: национальный зарегистрированный инженер по вопросам безопасности, работающий по проектам в области гидроэнергетики с 1 января 2018 года по конец тендера
Работа. Сертификация C сертификата безопасности производства в течение срока действия.
Гарантия социального обеспечения: вышеуказанные лица должны представить свидетельство о пенсионном страховании за последние 12 месяцев, которое они заплатили.","Участник торгов не находится в пределах и в течение срока, в течение которого компания ""Чайна Хинчжи"" ограничивает свои предложения.",
