location,product,tender_number,tender_name,tender_company
провинция Шаньдун,Проект SK LOT5 (перезагрузка),CGN-20230518002-N1,,Чайна Инжиниринг лимитед
"префектура Сычуань, муниципалитет Чжоучжоу, префектура Гуань","50 МВт ветряная дорожка, платформа, база ветряных двигателей и базовая инженерная работа по переработке коробок (запрос)",CGN-202304240020,,Чайна тайфун
Гуандун,Проект LOT101 De из нержавеющей стали PIPE (перезакупка),CGN-20221018001-N1,,Чайна Инжиниринг лимитед
провинция Шаньдун,метрический насос и электроизоляторный насос,CGN-202304190005-N1,SK проект LOT134Hc метрический насос и электроизоляторный насос,Чайна Хинси
"Синьцзян-Уйгурский автономный округ, Та-Сити, округ Торри",300 000 кВт-часовая установка электрического подвешивания,CGN-202212080010,,TORY
"Тибетский автономный район, район Али, округ Тир",Экспериментальный проект «Нулевой углерод» для хранения тепловой энергии в снежном равнине Alien на 20 МВт для генерального подряда на проект EPC,CGN-20230117005,,
Гуандун,Проект AD LOT134Ic (TEP паровой компрессор),CGN-202306070009-N1,,Чайна Инжиниринг лимитед
провинция Гуандун,дизельные генераторы для экстренного использования в проекте HLF,CGN-202307040028,Проект по закупке дизельных генераторов для экстренного использования в проекте HLF (номер тендера: CGN-202307040028),Чайна Хинон инжиниринг лтд.
"провинция Юньнань, город Юйцзи, округ Яньцзян-хани",новые энергетические кухонные плиты,CGN-20230505001,220-километровый проект по выпуску новых энергетических кухонных плит (220 кВ - N58),Юйцзян энтеррейд
провинция Фуцзянь,Проект BZ LOT134Ib (компрессоры TEG),CGN-202305230002-N1,,Чайна Инжиниринг лимитед
"провинция Джилин, Белый город, Гранд-Ан",490 МВт - 1-я закупка фотовольтных постов в рамках проекта &lt; &lt; Интегрированная энергетика &gt; &gt; ,CGN-20230105003,,Energy White City Ltd.
"Янцзы, провинция Гуандун",Закупка 2-го тендера на сканирование электронно-оптических микроскопов на объекте проекта,CGN-202303150009-N1,,Чайна энтерпрайз
провинция Шаньдун,Устройства измерения трафика и ограничения потока на ядерных островах,CGN-202305310007,"Проект SK 1, блок 2 LOT140L",Чайна Хинэ
"Чжэцзян, город Нимбо, северный округ",Проекты в области энергетики,CGN-20230116001,Объявление предложений по генеральному подряду на проекты в области энергетики,"Нинбо, Восток"
Гуандун,Термический трафик,CGN-202303010003,"Сухой проект 5, 6-й блок LOT101V Термический трафик",
Гуандун,"Проект AD-проект 3, блок 4 LOT130Ab Вторая партия тары для захоронений (No тендера: CGN-20230317004))",CGN-20230317004,,Чайна Инжиниринг лимитед
"Янцзы, провинция Гуандун",Устройства и ножи в комплексном производственном центре в рамках проекта,CGN-20221130005,,Чайна энтерпрайз
"Автономный район Гуанси-Шань, муниципалитет Чинбэя",фотоэлектрическая энергия,CGN-20230406001,"Объявление конкурса на проведение генерального подряда на проект PC по производству фотоэлектрической энергии в Гилоне, Северный Чин",Чайна Хинэ
"Хэбэй, Чжунцзяо, Цзиньцзян",Генеральный контракт EPC (по 2-этому озеру),CGN-20230608004,"Китайская компания China &apos; s Northern &apos; s friends, Lake of the Language, Mitsubishi City Television разместила генеральный контракт EPC (по 2-этому озеру)",Чжоу
"База в заливе Гранд-Авто, Шэньчжэнь",техническая поддержка для модернизации старых лифтов на АЭС &lt; &lt; Лингвэй &gt; &gt; ,CGN-20221018002,Объявление тендера на закупку технической поддержки для модернизации старых лифтов на АЭС &lt; &lt; Лингвэй &gt; &gt; ,Чайна Хинэ
"Гуандун, Шэньчжэнь",Экспериментальный образец для вибрации топливного компонента проекта X11,CGN-20230518007,Закупка экспериментального образца для вибрации топливного компонента проекта X11 (Конференция No CGN-20230518007),Чайна Хинэ
"город Нинде, Фуцзянь",Проект строительства и обслуживания подсистемы управления измерениями в рамках проекта BZ,CGN-202211240005,,
"провинция Джилин, Белый город, Гранд-Ан",электрическая линия,CGN-20230228005,Закупка электрической линии в рамках проекта &lt; &lt; Интегрированная энергетика &gt; &gt; мощностью 490 МВт,Energy White City Ltd.
"провинция Ляонин, город Ханьян, округ Ханьян",комбинированное производство электроэнергии,CGN-202212020008,,
провинция Фуцзянь,RCV Регулирование системы,BZLOT190B,BZ проект LOT190Bi RCV Регулирование системы,Чайна Хинэ
провинция Шаньдун,поставка,CGN-20230328007,Гран-при на поставку,Чайна Инжиниринг лимитед
"префектура Гуйчжоу, автономный округ Минамбуйи, префектура Гуйтинг",оборудование для ветрогенераторов,CGN-20230106005,,Quote Power Company
,,,,
"Пекин, Тойота",шкафы для высоковольтных переключателей с высоким давлением,CGN-202304060015,,Чайна Хинси
Гуандун,Проект LOT140L по проекту LOT140L (перезакупка),CGN-202209280001-N1,,
провинция Шаньдун,Устройство фильтрации системы HVAC,CGN-20230314001,Проект SK LOT150Ae,Чайна инжиниринг лтд.
"Шэньчжэнь, провинция Гуандун",Проектная платформа для моделирования окружающей среды подводной лазерной стыковки на атомных электростанциях и закупка запасных частей,CGN-20221130003,,
провинция Шаньдун,ТЭГ-компрессор,CGN-202307110012,Проект CW LOT134Ib (ТЭГ-компрессор),Чайна Инжиниринг лимитед
"провинция Цинхай, Тибетский автономный район Хайси-Монголия, город Герму",оборудование для компенсации за неустойчивость на озере Цинхайхен,CGN-202303140010,,Чайна Хиросима
"Янцзы, провинция Гуандун",механические ручки для линейных корпусов,CGN-202301030002-N1,,China Institute of Nuclear
Автономный район Гуанси-Шань,"Проект BT LOT190Fb бабочки, клапаны морских бабочек, клапаны отверстий и крышка канала отверстий",CGN-20221016001,,
провинция Фуцзянь,Безопасные клапаны,CGN-202304270002-N1,Проект BZ LOT190Aa (Безопасные клапаны),China Nuclear Power Engineering Company Limited
"провинция Чжэцзян, муниципалитет Каньшань, округ Чжуншань",оборудования для морской ветроэнергетики (переоборудование) (управление),CGN-202303210001,,Ветроэнергетика
Фуцзянь,Проект по ремонту нетехнического строительного оборудования за пределами UD 2023 - 2024 гг.,CGN-202301120002,Объявление тендера на проект по ремонту нетехнических производственных помещений за пределами UD на 2023-2024 годы,Чайна Хинэ
Шэньчжэнь,"Проект по закупке материалов для предварительной замены трубы из углеродной стали &lt; &lt; СЕН &gt; &gt; , блок 1/2 АЭС &lt; &lt; Большой Азиатский залив &gt; &gt; (заявка No: CGN-CGN)",CGN-20230228001,,Чайна Хинэ
"Хунань, Юнчжоу, округ Нойда","100 МВт/200 МВт в рамках проекта &lt; &lt; Контейнерный контракт &gt; &gt; на проект &lt; &lt; Сплошной запас &gt; &gt; , проект &lt; &lt; ЕПК &gt; &gt; , проект &lt; &lt; Синьхуа &gt; &gt; , проект &lt; &lt; Синьхуа &gt; &gt; ",CGN-20221008001,,Новая энергетика
"провинция Гуандун, муниципалитет Ташань",оборудование для замены ретрансляторов с нулевым циклом для защиты от торможения на обычных островах в рамках проекта,CGN-CGN,,
Гуандун,Проект проекта SK LOT190S LOT190S,CGN-20230403004,,Чайна Хинон инжиниринг лимитед
Нижняя Монголия,вторая система камер УНИТА (пункт 2: &lt; &lt; Запуск &gt; &gt; станции &lt; &lt; Ф &gt; &gt; и &lt; &lt; Г &gt; &gt; )),CGN-20230224003,,
Чжэцзян,Производственная установка,CGN-20230223007,Проект CS LOT140Pb Производственная установка,Чайна Инжиниринг лимитед
Гуандун,Сухопутные клапаны,CGN-202306130006,"Проект LOT45B &lt; &lt; Сухопутные клапаны &gt; &gt; , проект 5 и проект 6",Чайна инжиниринг лтд.
Гуандун,Электромагнитные клапаны,CGN-20230630004-N1,,
провинция Шаньдун,Ядерный архипелаг,CGN-20230619004,SK LOT101Db,Хинонжиниринг лимитед
Шанхай,оборудование для передачи в рамках проекта Шанхайского проекта Ускоритель и пакеты для передачи,CGN-20230427001,,Чжунъюнк
"Юньнань, муниципалитет Цюй, Цзюй",,CGN-202212080005-N1,,
провинция Шаньдун,противопожарное оборудование завода,CGN-202306080012,Проект проекта SK LOT49A по противопожарному оборудованию завода,Чайна Хинси
"Ханан, Открытый город, Ланко",200 МВт наземный ветроэнергетический проект по озеленению воды и восстановлению окружающей среды,CGN-202304240010,,
"Гуандун, муниципалитет Уитон",Проект 2PA и PB морской ветровой электростанции в порту Гуаняо (No тендера: CGN-202304250006)),CGN-202304250006,Объявление конкурса (Контингент: CGN-202304250006),China Nuclear Engineering & Construction Corporation
"префектура Аньхой, муниципалитет Тяньаньмэнь",первый слияние кабелей (первый пункт: региональный кабель Аньхой),CGN-20230105007,,
"Гуандун, Чжэцзян и Фуцзянь",Оборудование для нагрева воды,CGN-202306140007,,Чайна инжиниринг лтд.
провинция Цзянсу; муниципалитет Су; муниципалитет города,Модернизация системы мониторинга на базе трансляторов GB на трех электростанциях в рамках проекта,CGN-20230216003,Уведомление о торгах,Гуандун энтерпрайз / Ling Atomic Energy Ltd.
"Вэньчжоу, Чжэцзян",Проект создания и технического обслуживания подсистемы управления измерениями проекта CS (перезакупка),CGN-202302160002-N1,,
провинция Шаньдун,Проект 1-2 проекта SK LOT120Na (RPV Metal теплица),CGN-20230210001,,
Гуандун,"ЦК Гуаньчжоу, 2-й морской ветротехника и установка ветряных установок",CGN-20221108004,Проект Интегрированная стадия предварительного строительства и установки ветряных установок II в порту Хиросимы (сбор предложений по проекту),Чайна Хинэ
проект AD: Гуандун,атомный бесшовный трубопровод с углеродной стали (перезакупка),CGN-CGN,,
Гуандун,Проект LOT88Aa,CGN-20221116005,,Чайна Инжиниринг лимитед
,,,,
Пекин,шкафы небезопасного класса для системы управления DCS на АЭС проекта (разъем 03_ Атомная система управления DCS),CGN-202304100004,Уведомление о торгах,Хинли инжиниринг инжиниринг
"Шэньчжэнь, провинция Гуандун",Техническое обслуживание малокалиберной системы АСОТД в рамках проекта,CGN-202304230002,Закупка технических средств для технического обслуживания малокалиберной системы АСОТД в рамках проекта,Чайна энтерпрайз
Гуандун,"Наземный проект 5, блок 6 500 кВ ГИС",CGN-20230227001,,Гуанчжоу энжиниринг лимитед
Гуандун,"Реконструкция системы VVP и GCT &lt; &lt; Красная цепь &gt; &gt; , проект 5, проект &lt; &lt; Красная река &gt; &gt; , проект &lt; &lt; Реконструкция &gt; &gt; ",CGN-202212120003,,Чайна Хинон инжиниринг лтд.
