location,product,tender_number,tender_name,tender_company
"префектура Сычуань, муниципалитет Гуаньюань, округ Шин","электрические дороги, подвесная платформа, фундаментальная инженерия ветряной машины II",CGN-202304240016,Объявление тендера на проект 2 (Контингент: CGN-202304240016),Чайна
"Фуцзянь, муниципалитет Нинде, Фуку",беспроводная сеть для завода,CGN-202304250008,Уведомление о торгах на строительство беспроводной сети для завода,Фуцзяньненде энтерпрайз лимитед
провинция Чжэцзян,Проект CS LOT134Ib (компрессоры TEG),CGN-20230523003,,Чайна Инжиниринг лимитед
Гуандун,морская ветроэнергетическая установка 2PB проекта 66kV подводный кабель и повязка,CGN-20230217003,,Чайна энжиниринг лимитед
,,,,
"провинция Ганьсу, муниципалитет Кананг, муниципалитет ",120 МВт фотоэлектрического проекта EPC по генеральному контракту,CGN-202302020003,,Новая энергетическая компания
"Немонгольский автономный район, УНИТА, правый флаг Корнея",оборудование для трансформаторов на станциях УНИТА,CGN-20221202005,,Хинан Инк Коул
"Хубэй, Хуанган, округ Чун",энергоблоков и их вспомогательного оборудования,CGN-202303210006-N1,Закупка (перезакупка) энергоблоков и их вспомогательного оборудования в рамках проекта &lt; &lt; Хэбэй &gt; &gt; ,Инк.
"Юньнань, муниципалитет Цюй, Цзюй",четвертое оборудование для преобразования коробок (четвертый пункт: переменная ветряного ящика Юннананана),CGN-20221117003,,Чжоу
"Немонгольский автономный округ, Хоулумбер, Айен",ветрогенераторное оборудование,CGN-202307120010,,Айен Флаг
"Немонгольский автономный район, УНИТА, правый флаг Корнея",оборудование для камер УНИТА,CGN-202211140007,,Новая энергетическая компания Corp.
"Тибетский автономный район, район Али, округ Тир",аппаратное оборудование,CGN-202301160008,,
"Немонгольский автономный район, УНИТА, правый флаг Корнея",,CGN-202212080008,,
"Шэньчжэнь, провинция Гуандун",соединителя проекта,CGN-20230309003-N2,,Чайна Хинон
Гуандун; Янцзян,оборудования для сборки компонентов проекта,CGN-202212020003-N1,,
Порт-оф-Си,Проект по ремонту на Ядерном острове 2023-2026 гг.,CGN-20221019003,,Чайна Инжиниринг лимитед
Гуандун,Проект LOT140Jb Austoms Architects для проекта LF (No тендера: CGN-20221220003)),CGN-20221220003,,Хинонжиниринг лимитед
"провинция Цинхай, тибетский автономный район Хайси-Монголия, муниципалитет Деринха",вторая система камер для розливых озер,CGN-20230420006,,Чайна-Хеллоу
провинция Фуцзянь,Электромагнитные клапаны на Ядерном острове,BZLOT190NCGN-20230310001,,Чайна Инжиниринг лимитед
Автономный район Гуанси-Шанг,Безопасные батареи,CGN-20221108003,Проект BT LOT190Fc Безопасные батареи,
"Пекин, Тойота","новые энергетические убежища, плавильные установки",CGN-202307003,,
Гуандун,Проект AN ( &lt; &lt; трубопроводы и приложения &gt; &gt; ) (перезапрос),CGN-20220916003-N1,,
Фуцзянь,Проект строительства выставочного центра ядерной энергетики Ниндера,CGN-20230626004,Объявление о тендере на строительство здания в Выставочном центре ядерной энергетики Нинде,Чайна Хинэ
"Чжэцзян, Шаньдун",холодильные установки DEL,CGN-202307030009,,Чайна Инжиниринг лимитед
"Гуандун, Янцзян, округ Яндон",Проект строительства нового и модифицированного детектора пожарной сигнализации на атомном заводе Янцзы,CGN-202212010006,,
"Пекин, Тойота",сбор матрицы ретрансформаторов для новых источников энергии,CGN-20230710005,,
Гуандун/город Цзянмен/Тайшань,небольших проектов в зоне ответственности ТЭС III,CGN-20230615005,Объявление тендера на строительство небольших проектов в зоне ответственности ТЭС III,Тайшань энтерпрайз
Фуцзянь,Проект BZ Инструкция по установке (пункт I),CGN-20230714001,Инструкция по установке объектов проекта BZ (пункт I) (заявка на тендер No CGN-20230714001),Чайна Хинон инжиниринг лтд.
провинция Шаньдун,Проект SK LOT190Bi RCV (перезапрос),CGN-202303030001-N1,,Чайна инжиниринг лтд
провинция Шаньдун,Устройства системы хранения и распределения газа на заводе по проекту SK LOT8,CGN-20230518001,,Чайна Хинэ
"Шэньчжэнь, провинция Гуандун",Закупка подключенного к проекту GJB599I (второй тендер),CGN-202210170004-N1,,China Institute of Nuclear
Гуандун,переключатель давления неядерного уровня,CGN-202304210002,"Проект LF проекта 5, блок 6 LOT101Pb",Чайна энжиниринг лимитед
Хироси,твердыня на дорогах,CGN-20221027001,Открытое объявление о тендере на строительство твердыни на дорогах в Хироси,Синьцзян энтерпрайз
Порт-оф-Си,Проект по кондиционированию воздуха на первом заводе в Порт-о-Пренсе в 2023-2026 годах (второе тендерное предложение),202305040005-N1,"Одобренный, финансируемый за счет собственных средств и реализованный тендер на атомную электростанцию в порту Гуанси Ltd. В рамках этого проекта уже имеются условия для проведения торгов, и в настоящее время проводятся открытые торги.",Чайна Хинэ
"префектура Гуйчжоу, автономный округ Минамбуйи, префектура Гуйтинг",первый сегмент проекта 2023 года по изучению новых источников энергии,CGN-20230306007,Объявление тендера на первый сегмент проекта 2023 года по изучению новых источников энергии (Контингент: CGN-20230306007),Ветроэнергетическая компания
"Янцзы, провинция Гуандун",оборудование для бинарных прожекторов,CGN-20221209001,,Хинан энтерпрайз
,,,,
Гуандун/Янцзян,Проект по модернизации оборудования для фазового контроля на контуре 220КВ в Янцзяне,CGN-20230106002,,
"Синьцзян-Уйгурский автономный округ, Алтайский район, Гимуна",Комплексный проект 35 кВ по строительству и установке коробок (раздел A),CGN-202208230001-N1,,
провинция Шаньдун,Углеродная стальная труба,CGN-20230330006,SK LOT140Cb «Углеродная стальная труба»,Чайна инжиниринг лтд.
"Гуандун, Янцзян, округ Яндон",1000 МВт для мониторинга морских ветровых полей,CGN-202303010006,,
Ляонин; Далянь; Вау,"защитное устройство системы GPA для блока 1-4 # &lt; &lt; Ляонин &gt; &gt; , блок 02 - &lt; &lt; Защитные устройства системы GPA &gt; &gt; .",CGN-202211210003,,
провинция Шаньдун,"Автоматические замки Lockheed, сертифицированные блоки",SKLOT190BdCGN 202303310003-N1,Проект SK LOT190Bd Austoms Lockheed Closure and Certified Blocks (перезапрос),Чайна Хинон инжиниринг лтд.
провинция Шаньдун,Основные паровые клапаны и изолированные клапаны с полной нагрузкой,CGN-20230104001-N1,Проект SK LOT190D Основные паровые клапаны и изолированные клапаны с полной нагрузкой (перезапрос),Чайна Хинон инжиниринг лтд.
"Фуцзянь, Гуанси",Интегрированное устройство для охлаждения проб между пробами REN,CGN-202305120004,,Чайна Инжиниринг лимитед
"Юньнань, автономный округ Чусун, округ",200 МВт фотоэлектрической плиты 200 МВт 2-й этап 1-го проекта по закупке фотоэлектрических кабелей (торги),CGN-20230105005,Уведомление о торгах,Чусун
"Синьцзян-Уйгурский автономный округ, Та-Сити, округ Торри","75 MW300 MWh в рамках этого проекта будет оснащен 300 МВт ветряными дорогами, платформами, ветряными машинами и контейнерами.",CGN-20220920001-N1,,Чайна Энергия
"префектура Сычуань, муниципалитет Гуаньюань, округ Шин",электрическая линия,CGN-202306020005,,
провинция Шаньдун,Основные паровые клапаны и изолированные клапаны с полной нагрузкой,CGN-20230104001,Проект SK LOT190D Основные паровые клапаны и изолированные клапаны с полной нагрузкой,Чайна Хинэ
Гуандун,"Проект LF 5, блок 6 LOT101Bb (датчик температурного уровня в системе вентиляции)",202304130009,,
"префектура Юньнань, чусуньский автономный округ, префектура Осаки",основное оборудование (пункт 1: Оборудование в Юньнане),CGN-202304260002,,Великая ветряная энергетика
провинция Шаньдун,Костерические насосы,CGN-20230427006,"Проект проекта SK LOT24A ""Костерические насосы""",Чайна Хинон инжиниринг лимитед
"префектура Аньхой, муниципалитет Тяньаньмэнь",100 МВт ветроэнергетический проект PC,CGN-20230529004,,Хиросиэнэ
Цзяннань,"Проект CS проекта 3 и 4 LOT130Aa, первая партия сборных контейнеров для ядерного острова",CGN-202302130004,,Чайна Инжиниринг лимитед
"провинция Хэйлунцзян, Цзиньцзян, округ Цинго",новые источники энергии в китайской и китайской провинции Хэйлунцзян и 200 МВт,CGN-20230328005,,
"Синьцзян-Уйгурский автономный район и Тэгу, округ Лоуп",оборудование для компенсации за неработанное оборудование на базе Синьцзян в 2023 году (третий пункт: фотоэлектрический проект),CGN-202307060014,Закупка оборудования для компенсации за неработанное оборудование на базе Синьцзян в 2023 году (третий пункт: фотоэлектрический проект),Чайна Хинэ
Порт-о-де-Гонконг,Проект комплексного планирования строительства вокруг здания BX (перезакупка предложений),CGN-202301110010-N1,,
"Пекин, Тойота",Закупка в рамках проекта AIS 2023 года (первый пункт),CGN-CGN,Глава I. Объявление предложений,
"Немонгольский автономный район, УНИТА, правый флаг Корнея",вторая система камер УНИТА,CGN-20230224004,,Новые энергетик
"Синьцзян-Уйгурский автономный округ, Баян-Монгольский автономный округ, Жуан","Строительство 1 млн. кВт ветровых дорог, платформ, ветряной базы и коробки",CGN-20230706009,Объявление о торгах по четырем пунктам проекта,China New Energy Trucks Ltd.
провинция Шаньдун,ключевые разломы в районе проекта LN,CGN-20230324002,Тематическое объявление о тендере на ключевые разломы в районе проекта LN,Шэньчжэнь Синьцзян
"Гуандун, Шэньчжэнь",Закупка (перезакупка) этого проекта для защиты насосов (просмотр тендера)),CGN-202305180008-N1,,
провинция Шаньдун,основное оборудование на Ядерном острове,CGN-20230511001,Проект проекта SK LOT120S подписка на основное оборудование на Ядерном острове (заявка No CGN-20230511001),Чайна Инжиниринг лимитед
Институт ядерных исследований Китая и Китая,Проект строительства тепловых помещений,CGN-20230117009,Перевозка и освещение,Чайна инжиниринг лтд.
Фуцзянь,ручной клапан и корректирующий клапан &lt; &lt; тройка &gt; &gt; ,CGN-20230625008,,Чайна инжиниринг лтд.
"префектура Аньхой, муниципалитет Тяньаньмэнь",Электроэнергетическая станция 143 МВт 286 Втт,CGN-202212130002,Объявления о торгах (Контингент: CGN-202212130002),Чайна Хинэ
"Шэньчжэнь, провинция Гуандун",Информационно-инженерная инженерия в Центре по подготовке кадров в области ядерной инженерии Китая,CGN-20221028002,Объявление о тендере на проектирование информатики в Центре подготовки по ядерной инженерии,Чайна энжиниринг лимитед
"Шэньчжэнь, провинция Гуандун",Проектная коммутаторная машина PMC для работы с интеллектуальными тренинговыми устройствами,CGN-20221229001,,
Шэньчжэнь,Стержневые конструкции,CGN-202306270006,,China Institute of Nuclear
Гуандун,"Устройство для испытаний на водяном давлении на блоке LOT120Q SG проекта Gangladesh LF проекта 5, 6 (номер тендера: CGN-20230508001)",CGN-20230508001,,Чайна Инжиниринг лимитед
"Автономный район Гуанси-Шань, муниципалитет Чинбэя",проект по новым энергоресурсам - Гуансигилон и Лань Юнь,CGN-20230227007,Объявление тендера на новые источники энергии в Китае в 2023 году,Чинбэйз
Гуандун,Административные коммутационные системы LOT78Ca для группы 5 и 6 проекта &lt; &lt; Земля &gt; &gt; ,CGN-202304110004,,Чайна Хинэ
"Фуцзянь, Гуандун","Проект BZ LOT130B RRI, ECS, AAS и AD проект LOT130B RRI Плюстер - тендерное объявление",CGN-202303280003-N1,,
провинция Шаньдун,клапан,CGN-2023041300002-N1,,Чайна инжиниринг лтд.
Гуанси-Шань,пожарный насос (перезакупка),CGN-20220928005-N1,Проект GWT LOT49B пожарный насос (перезакупка),Хинонжиниринг лимитед
Гуандун,,CGN-202211010001-N1,Просьбы о проведении конкурса на модернизацию системы защиты под давлением на атомных электростанциях в рамках проекта (номер тендера: CGN-202211010001-N1),Тайшань энтерпрайз
"провинция Джилин, Белый город, Гранд-Ан",комбинированного энергопроекта мощностью 490 МВт,CGN-20230228006,Закупка 490 МВт комбинированного энергопроекта в Гизилу,Energy White City Ltd.
Китайская Народная Республика,Проектные и механические услуги по проектированию и механическому расчету трубопроводов второго уровня,CGN-202304030006-N1,,
"провинция Цинхай, тибетский автономный район Хайси-Монголия, муниципалитет Деринха",азотная кислота,CGN-202303010008,,Энергопроект
"провинция Юньнань, город Юйцзи, округ Яньцзян-хани",Китайский и Китайский проекты по выпуску новых энергоносителей (N58-N109),CGN-20230505002,Китайский документ 35-1trans.txt Китайский и Китайский проекты по выпуску новых энергоносителей (N58-N109),Янцзян Ветер энергетик лимитед
"Гуанси-Шань, Стоун, округ",1200 МВт для проекта по водонапорной энергетике в Хисаси,CGN 202302160005,Объявления о торгах (Контингент: CGN-20230216005),Новая энергетическая компания
провинция Шаньдун,система управления бейсболом и бейсбола RGL,CGN-20230128001,"Проект, блок 104G (система бейсбола и бейсбола RGL)",Чайна Хинон инжиниринг лтд.
Гуандун,"LF-проект 5, 6-й блок LOT101Sc (ядерный магнитный плавучий переключатель)",CGN-202303090006-N1,LF56LOT101ScCGN 20230309006,Чайна инжиниринг лимитед
