release_date,CGN,brief_description,detailed_description,executor_type,executor_name,price_currency,customer_name,customer_type,bidding_agent
2023-09-06,CGN-202306140007,"AD, CS и BZ LOT41A (оборудование для нагрева воды)","Проект AD, проект CS и проект BZ LOT41A (Оборудование для нагрева воды)",Производитель,Halbin Cooperate Company,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-12,CGN-202302160002-N1,Результаты проекта по созданию и техническому обслуживанию подсистемы управления измерениями проекта CS (перезакупка),Проект по созданию и техническому обслуживанию подсистемы управления измерениями в рамках проекта CS (перепредставление предложений),Средние участники,Китайская проектная компания,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-14,CGN-20230210001,Объяснение результатов в блоке 1-2 проекта SK LOT120Na (RPV металлообгреватель),Группа LOT120Na (RPV Metal теплица),Владелец,Angeles Group Ho Mountain,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-01-18,CGN-202211080004,"2-й морской ветротехника и ветряная машина в порту Гуанчжоу
Установка проекта Интегрированная точка II",2-й этап предварительного строительства и монтажа ветряных машин в порту Гуанчжоу,Покупатель,Чайна инжиниринг лтд.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-11,CGN-202305260002-N1,"Большой резерв материалов LOT140Cp карбонатный бесшовный трубопровод
(перезакупка)
Циркуляр результатов",Этот большой резерв материалов LOT140Cp атомный бесшовный трубопровод с углеродной стали (перезакупка),Наименование проекта,"крупное хранилище материалов LOT140Cp углеродно-периодическая труба (переторг)
1999 - 1999 годы",RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-28,CGN-20230227001,Проект 500kV GIS,"Группа 500kV GIS для проекта 5, 6",Название проекта,Сянси электрик,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-03-27,CGN-202301120004-N1,Закупка (перезакупка) оборудования для испытания оси,Закупка (перезагрузка) экспериментального оборудования для оси (закупка тендера) для определения средней части проекта,Производитель,Language Horizon,CNY,Китайская академия ядерных исследований,Приглашение,Чайна инжиниринг лимитед
2023-07-06,CGN-202306020007,220 кВ ветряной площадке 220 кВ в рамках проекта 220 кВ,Проект 220 кВ ветровой электростанции Синьцзян,Информация о кандидатах,Сычуань Литайская энергетическая группа,CNY,"Ветроэнергетика, Чайна",Участники торгов,Чайна инжиниринг лимитед
2023-08-24,CGN-20230705008,Закупка 1 млн кВт фотоэлектрической базы в Лоупе (2 знач.),Закупка 1 млн кВт фотоэлектрической базы в Лоупе (2 шт) на базе экологически чистой энергии в Китае,Ведущий,Шэньчжэнь,CNY,солнечная энергетика Тумушук,Покупатель,Чайна инжиниринг лимитед
2023-06-25,CGN-202305160004,50 МВт на газотурбинной площадке Сычуаньской лужайки 50 МВт в рамках проекта по закупке EPC,Проект 50 МВт наземной ветровой лужайке Бен Сычуань доставил проект по закупке EPC,Производитель,China Electric Company,¥,"Гуй-Ветер, Китай",Заказчик,Чайна инжиниринг лимитед
2023-04-23,CGN-20230314009,"В 2023 году в Китае впервые была приобретена безуспешное оборудование (пункт 2: Компенсация за неудобство в Чжунцине)
Оборудование)",В 2023 году в Китае впервые было приобретено оборудование для компенсации за неустойку (пункт 2: оборудование для компенсации за неугодную работу в Чжунцине),Участники,Четверка в Пекине,¥,China and China New Energy Shong Co.,Участники торгов,Чайна инжиниринг лимитед
2023-05-09,CGN-20230207005,Результаты генератора CW проекта LOT40,Электрогенераторный блок LOT40 в рамках проекта CW,Производитель,Harbin Electric Company,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-20,CGN-202303310006,"Обнародование результатов, указанных в программе «Терринг» (2023-2025)",2023-2025 гг.,Инжиниринговая компания,Ханнан,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-15,CGN-20230316002,Результаты работы насосов на важнейших установках SK LOT134C,Научные насосы на основных заводах по проекту LOT134C для определения победителей проекта,Партнеры,Шэньян,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-06-29,CGN-202304100011,"Закупка шкафов безопасности и внутренних приложений для системы управления АЭС &lt; &lt; DCS &gt; &gt;
Результаты в пункте 1","Закупка шкафов безопасности и внутренних приложений для системы управления системой DCS на атомной электростанции (пункт 01.
Пункт закупок приложения 1",Производитель,Ory,CNY,Хинли инжиниринг инжиниринг,Заявители,Чайна инжиниринг лимитед
2023-06-27,CGN-202304240016,"Дороги, платформы для подвески, фундаментальные работы в ветряных машинах
Объяснение результатов в пункте 2","2-й этап проекта по строительству дорог, подвесных платформ, фонтанов и облачных электростанций, подвесных платформ, ветротехники (прибор)",Китай,Китайская гидроэнергетическая компания X,¥,"Ветроэнергетика, Чайна",Участники торгов,Чайна инжиниринг лимитед
2023-05-30,CGN-20230217003,Проект подводного кабеля 66 кВ и установки подводного кабеля 2PB в порту Уйчжоу,Подводный кабель и повязка морского ветроэнергетического проекта 66 кВ в порту Бенедикта,Партнеры,ZTE AG и Shanghai Singhua Engineering Ltd.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-03-07,CGN-202301050011,В 2023 году была произведена первая совместная закупка оборудования для смены коробок (третий пункт: изменение регионального ящика),В 2023 году в Китае впервые были приобретены устройства с коробкой коробок (третий пункт: изменение региональной коробки),Ведущий,Электротехника,¥,China 's New Energy Angeles Ltd.,Участник,Чайна инжиниринг лимитед
