location,product,tender_number,tender_name,tender_company,quantity,description,requirements,stages,delivery_time,start_date,end_date,product_cluster,location_cluster,detailed_cluster
"Пекин, Тойота",сбор матрицы ретрансформаторов (1 северный маркер),CGN-CGN,Глава I Уведомление о торгах,Чайна Хинэ,,С 2023 по 2024 гг. были собраны инверторы для новых источников энергии.,Конкретная сфера охвата и требования к тендерным техническим документам регулируются.,четыре сегмента,45 дней после получения письменного уведомления о поставке,,,2,15,2
"Пекин, Тойота",Матрица комплексной автоматизированной системы электроснабжения 2023 года,CGN-202304060017,,,,в рамках этого проекта была закуплена комплексная автоматизированная система комплекта оборудования для проекта << Энергоснабжение 2023 >>.,"Закупка матрицы комплексной автоматизированной системы электроснабжения 2023 года (первый пункт): в том числе на национальном уровне участников торгов
Новый проект по производству ветряной энергии с использованием комбинированной программы 220kV-750kV, а также заинтересованные стороны в Синьцзяне, Тибете, Цинхай, Ганьсу, Внутренне
66 кВ-110 кВ и Синьцзян, Тибет, Цинхай, Гань, Внутренний
Все 16 административных районов, включая Мон, Хэйлунцзян, Джилин, Ляонин, Шаньдун, Шаньдун, Шаньси, Ханан, Хэбэй, Пекин, Тяньцзинь, Чэньси и Нинся
Независимые резервные мощности, построенные на 220 кВ-750 кВ, проект по производству фотоэлектрической энергии с использованием комплексного автоматизированного комплекта оборудования и комбинированного потока
Изготовление оборудования.
Поставка всех аппаратных средств, программного обеспечения и услуг в рамках поставок, разработка, интеграция, предоставление технической информации, производство,
Проверка, упаковка, отгрузка, доставка на место, установка на месте, помощь в проведении испытаний и испытаний, приемка и приемка, подготовка, участие в испытаниях
услуги после продажи и т.д.",4,35,после подписания контракта,после подписания контракта,3,15,0
"Янцзы, провинция Гуандун",проект оптимизации процесса охлаждения ядерно-энергетических установок в Янцзыне и VVP,CGN-202212020007,,Чайна Хинэ,,Закупка тепловых материалов для установки 1-6 в Янцзяне: усовершенствование клапанов безопасности для основной паровой системы (VVP) Усовершенствованная температура охлаждения тары с низкой системой (AHP/ABP) и улучшенная процедура охлаждения труб на рабочем месте.,"Данный тендерный проект разделен на 1 участок, в котором предлагается измерение, проектирование, проектирование, температуру на месте, необходимую для завершения проекта. Услуги по производству, поставке и установке, которые отвечают техническим требованиям участника торгов, тестированию материалов третьей стороной, предоставлению документов, проверке функциональности тепловых материалов Требования в отношении инспекции, перевозки контейнеров и т.д.",13,2023-2026,Январь 2023,24 месяца с момента получения и окончательной приемки контракта на месте,1,1,1
"Пекин, Тойота",сбор фотоэлектрических компонентов,CGN-20230710008,,Чайна Хинэ,,С 2023 по 2024 гг. были собраны матрицы фотоэлектрических компонентов.,"Оборудование, поставляемое в рамках этого тендера, имеет общую мощность 1000 МВт для однокристаллического кремния с двойной флуоресценцией типа P (положительная) номинальная мощность составляет 545 Вт/550 Вт/555 Вт, в то время как позитивная маркировка опционов не должна превышать 555 Вт, а также 550 Вт. Пропорция не должна быть меньше 600 МВт; мощность спины не включает в себя мощность одного блока, электрическое давление фотоэлектрической системы 1500 Вт, а положительное отклонение 0-5 Вт, Протяженность коробки длиной 300 мм требует от участников торгов обеспечить соответствие внешнего размера одной и той же части.",7,2023-2024,,,2,15,2
"префектура Сычуань, муниципалитет Гуаньюань, округ Шин",проектирование (перезакупка),CGN-202303230004-N1,,Синьцзян,,"100 МВт ветроэнергетического проекта в храме меч-си находится в провинции Сычуань, в городе Хин-си, в городе Хунцзяо, в городе Лута и в городе Белого Дракона, в районе Сюань. Расстояние прямой линии составляет около 52 км. Место состоит из двух последовательных горных хребтов, высота которых составляет от 720 до 880 м. Строительство 220 кВ ветряной электростанции в Вест-Ди, расположенной на территории города, расположенного в районе Ши-цзи, собирает вокзал. 100 МВт, 100 МВт, 30 МВт посуды, 30 МВт посуды и 30 МВт по четырем ветряным проектам мощностью 260 МВт по линии 220 кВ от храма После выхода 220kV-линии, с 500 kV-трансформаторной станцией в 220kV на 220-километровой стороне, длина новой линии составляет около 53 km, провод. Скриншоты выбраны на 2×LGJ-400 с максимальной температурой работы на 80°C. Предусматривается, что маршруты будут пересекаться и пересекаться в больших и малых городах, на промышленных предприятиях, на основных сельскохозяйственных угодьях и на больших дорогах. Перебои в электроснабжении оказывают большее влияние на местность, требуя от проектировочных подразделений избегать использования запланированных геокрасных линий, жилых домов, памятников древности, Территории, такие как туристические достопримечательности, обеспечивают законное соответствие местам реализации проекта, избегая крупных изменений в дизайне и земельных споров в процессе строительства; Используйте, насколько это возможно, схему переключения электрического тока, по возможности, для бурения высоковольтных уровней электрического давления и одинакового уровня электрического напряжения, а топография должна быть контролируемой. Для обеспечения жизнеспособности и удобства работы на месте используются специальные башни.","Диагностика: топографическая форма маршрута доставки 220 кВ, контроль горизонтальной дальности, топографическая съемка, инженерное геологическое обследование, разведка, испытания и т.д. - представление отчетов о инженерном измерении, геоинженерных съемок и данных о коэффициенте сопротивления почв. Содержащиеся в обследовании материалы должны удовлетворять требованиям этапа строительства Геологическая съемка. Конструкция: проект 220 кВ ветровой электростанции << Западный храм >> в соответствии с государственными стандартами и требованиями к глубине проектирования в электроэнергетике Инженерные работы (в том числе, по крайней мере, маршруты между трассой и 15-метровым локомотивом, начиная с линии подъема в западном храме и кончая поворотным горизонтом в поэтическом городе) Первоначальная конструкция 500 кВ с переходом на 220 кВ (включая маршрут доставки 220 кВ, переход на 500 кВ) 220 кВ весь комплекс инженерных проектов, таких, как строительство, электроснабжение и водоснабжение, охрана окружающей среды и водосборные сооружения, а также полный комплект Проект топографической съемки объектов, проектирование строительного плана и предоставление комплексных технических услуг и проектирование завершенных работ. Удовлетворение инженерно-строительных работ, управление перевозками и контроль, Всеобъемлющие требования к приемке и окончательной приемке и проверке работ.","Требования к проектному циклу: 1 проектно-конструкторская работа была завершена в течение 30 рабочих дней после подписания контракта (включая измерения, топографию)2; График работ должен быть выполнен с учетом строительных потребностей на месте и плана заказа оборудования; завершение работ в течение одного месяца после завершения работ по 3 проектам Производство.",,,,0,24,0
Фуцзянь,Устройства охлаждающие насосы (номер тендера: CGN-20230110002),CGN-20230110002,,,,"в данном тендерном проекте не проводится разграничения тендера на 10 единиц оборудования, необходимых для строительства проекта Fujin BZ
Конструкция, поставка и обслуживание водяных насосов. Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",,,15.04.2025,15.02.2026,,1,12,1
"провинция Джилин, Белый город, Гранд-Ан","Дорога, платформа, ветряная база и коробка",CGN-202301110002,,Белая энергетика,,"Проект 2-1 (Ветряная электроэнергия 260 МВт) Проект по вертикальной передаче 1,4 млн. кВт на базе << Гизи >> находится в Белом городе, провинция Джилин 11 км к юго-западу от города Шели. На ветряной электростанции предлагается установить ветряную генераторную группу мощностью 5,0 МВт на одномоторном генераторе с высотой колеса 145m, фактический размер машины составляет 260 МВт.","В рамках этого проекта были выделены два участка: Серия 1: Проект 2-1 (Ветряная электроэнергия 260 МВт) Дороги, платформы, ветряная база и коробка Базовый тендер (пункт 3) Шаг 2: Проект 2-1 (Ветряная электроэнергия 260 МВт) Дороги, платформы, ветряная база и коробка на базе Гизи Базовый тендер (пункт 4)","В конкурсе участвуют 13 ветровых машин (F40, F39, F38, F37, F35, F34, F33, F32, F30, F29, F12, F26, F31) - платформы для погрузки, а также базовая и коробка для ветряной машины Проект. Сфера охвата торгов является следующей. 1.1 Проект 2-1 (Ветро 260 МВт) проекта вертикальной отверстии 1,4 млн. кВт на Базе в Гиссе Общая длина ветряной электростанции 0 км, длина дороги в этом районе составляет 0 км; 1.2 Проект 2-1 (Ветряная электроэнергия 260 МВт) на базе Гизи 1,4 млн. киловатт-экранов 13 платформ погрузки; 1.3 Более дорожных и платформных проектных отверстий, стен (включая защитные ноги на песчаном валах), дорожных постов, амфибий, строительные работы Дороги, трамвайные платформы, свалки, дорожные знаки (при необходимости), дорожные камни (при необходимости), защитные куски, брошенные земли и т.д. - инженерное дело; 1.413 Ветрогенераторных установок мощностью 5000 кВт и строительство коробки, включая раскопку и заполнение или замену грунта Все строительные работы на грунте, такие как заполнение, погрузка и разгрузка грунта и т.д.; основы ветровой машины, матрицы ветровой машины, опорные столбы и другие фундаменты i) инженерное строительство; коробка для сборки коробок, бетонная платформа для коробки, емкость, железный забор и т.д.; 1.5 Ветряная база, коробка для работы; 1.6 резервирование, захоронение и т.д. с ветряными машинами, застройкой коробки; 1.7 изготовление и установка базовых наблюдательных пунктов для наблюдения за осаждением; 1.8 прокладки, спирали, сталь, приемка, хранение, перегрузка и установка; 1.9 Противокоррозия между башнями и основами; 1.10 матрасы, спирали и стальные трубы обеспечиваются башнями; 1.11 Другие инженерные подразделения, меры, которые должны включаться на этапах строительства ветроэлектроэнергии, строительства подвесных платформ, капитального ремонта проект, технические услуги и все элементы работы, включенные в план координации и строительства; 1.12 Ветряная дорожная станция должна отвечать условиям перевозки таких крупных единиц оборудования, как ветряные машины, башни и т.д., и должна быть изменена в тех местах, где не соблюдаются условия перевозки; Кроме того, он несет ответственность за техническое обслуживание дорог, обеспечение функционирования (включая временные каменные прокладки) и т.д., и участник конкурса должен учитывать соответствующие расходы в предложении. 1.13 Ответственность за транспортировку ветряных установок (включая подъездные дороги и внутренние дороги), башни, коробки и т.д., соответствующие расходы Участникам торгов следует рассмотреть предложение. 1.14 Обслуживание экологичных мер во время строительства (включая очистку оползней, пыли на дорогах, временное озеленение и т.д.) и т.д. Участники должны учитывать предложение. 1.15 Временное строительство во время строительства подрядчиком, включая все здания и оборудование, установки и временные дороги, включая станки, заводы и т.д. Покупатели самостоятельно решают, в том числе в отношении выбора участка, экспроприации лесов, очистки мест на более позднем этапе, восстановления растительности, охраны окружающей среды, аккумуляции и т.д. Расходы на самооценку, включая предложение. 1.16 Подрядчик должен принять участие в экспедиции и сносе леса в рамках проекта совместно с подрядчиком (в тендерной документации или контрактной документации было согласовано, что За исключением тех случаев, когда подрядчик должен был самостоятельно решать вопросы, связанные с оформлением заказов, внешней координацией, координацией сопротивления и т.д. Эта работа оценивается и анализируется на ежемесячной основе, и подрядчики должны в полной мере учитывать трудности и риски, связанные с координацией, при представлении предложений. и контракт В качестве основания для претензий в связи с продолжительностью и ценой работы не может выступать лицо. 1.17 Обследование на месте, отбор брошенных полей и их утверждение местными органами экологизации, водоснабжения и т.д. для размещения строительных работ После удаления отходов необходимо принять необходимые меры по сохранению почв и озеленению растений, а участники торгов, связанные с частичным покрытием расходов, связанных с полом, должны быть представлены в торгах. Рассмотреть. 1.18 В связи с тем, что строительство ненадлежащим образом привело к раскопкам дорожных заграждений, превышающим проектную ширину, подрядчик сам берет на себя расходы на экспедицию за пределами комплекса. 1.19 В тех случаях, когда подрядчик несет ответственность за ремонт и совершенствование оборудования, материалов и т.д., когда это приводит к повреждению уезда и коммуны. 1.20 Строительный процесс решается самостоятельно, когда необходимо демонтировать дома, электрические стержни и т.д. Подробная информация об объеме торгов содержится в тендерной технической документации.",114,06.03.2023,30.06.2023,2,11,0
"Пекин, Тойота",матрица нового энергоблока 2023 года,CGN-20230627005,,,,"Закупка в 2023 году пакета <<Новая энергетика>>, сгруппированных по трем пунктам: Закупка матрицы для новых источников энергии 2023 года (пункт 1) Закупка матрицы для новых источников энергии 2023 года (пункт 2) Закупка матрицы новых энергетических установок 2023 года (пункт 3)",,3,365,,,3,15,0
"Шэньчжэнь, провинция Гуандун",выставочный зал,CGN-20221215002,,Чайна инжиниринг лтд.,,"проект строительства выставочного зала в здании с ядерной инженерией, включая, но не ограничиваясь, строительством выставочного зала. Поставка, установка и отладка аппаратного и аппаратного оборудования, отделка выставочного зала.",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,"начало работ на месте зависит от уведомления владельца, а срок строительства - от 90 дней.",90 дней,,,0,7,1
провинция Шаньдун,Проект CW LOT120D,CGN-20230118005,,Чайна Хинон инжиниринг лимитед,,"проект CW LOT120D, включая оборудование
Закупка, изготовление, испытание, упаковка, перевозка (опционы), документация, запасные части (опционы) и услуги технической поддержки на местах
(опционы) и т.д., уровень гарантии качества оборудования выше уровня Q1. Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",,,,,,1,0,1
"провинция Юньнань, город Таити, Уаньин",кабельный кабель,CGN-20220927002,,Юйцзи Суануэн,,"Установка 16 ветряных генераторов мощностью 6,25 МВт в рамках проекта по производству ветроэнергии на 100 МВт ветроэнергетической электростанции << Чайна >> с фиксированным выходом трансмиссионных напряжение 1.14V, емкость коробки с пределом электрического давления, 16 шт., с 4-разрядными проводами, подключенными к 35-кВ-диапазону; в соответствии с доступом 37 кВ 110 kV 100 MVA; 110kV - линейная переменная; новое устройство для компенсации за неработанные работы; Размер компенсации составляет ±23 Mvar.",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,,30.11.2022,30.11.2022,,2,1,0
Фуцзянь,Проектный блок проекта BZ LOT120Ca (консерваторы),CGN-20230310004,,Чайна Инжиниринг лимитед,,блок 5 и 6 проекта BZ,"в данном тендерном проекте не проводится разграничения тендерных заявок, которые: Проект BZ 5 и 6 имеет два стационарных блока.
Оборудование, включая закупку, изготовление, испытание, упаковку, документацию, инструменты, запасные части (опционы), транспорт (опционы) и
Услуги (опции). Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",,,,,1,12,1
"префектура Юньнань, чусуньский автономный округ, префектура Осаки",проект EPC-2 в рамках проекта &lt; &lt; Синдром &gt; &gt; ,CGN-202304140004,,,,"Этот проект был построен в районе, расположенном недалеко от село Чжао-цзи-цзи-цзы, префектура Чжунцзян, провинция Юньнань, где некоторые дороги требовали поворота. Локальная ширина отвечает требованиям к транспортировке оборудования, материалов и т.д. Конкретными транспортными маршрутами фотоэлектрической станции являются: Квинмин-Гонконг, Дорога длиной около 260 км является высокоскоростной и вечной золотой. В городе Чжао, на дороге около 24 км, 227 национальных дорог. Чжао Магазин - Малая Красная гора, трасса длиной около 30 км, дорога Чжао Лонг. Маленькая Красная гора - подъемная станция около 20 км, село. Перевозка на месте хуже. Проект состоит из 71 генератора, каждый из которых состоит из солнечных батарей Сочетание, серийный ретрансформатор, подъемный трансформатор.","Электронный контракт на проектные работы <<ЭПК>> включает, но не ограничивается: проектирование и строительство, оборудование, материалы, связанные с завершением проекта Закупка, транспортировка и управление материалами; подготовка и строительство всех инженерно-строительных работ; установка и отладка оборудования; все приемочные работы; передача и период гарантий Внутренний дизайн, закупки и строительные работы. 240 часов от начала работы до обеспечения полной пропускной способности станции и безопасности сети. Недостатки, эксплуатационные испытания, проверка эффективности системы, технические и послепродажные услуги, завершение всех работ, связанных с завершением приемки Соответствующая сумма расходов (оценка и инспектирование на противоминных полях и получение отчетов о приемке третьей стороны (без фотоэлектрической подкладки, модификации коробки, ограждения, Подключение к кабелям, кабельным колодцам и другим устройствам, а также кабельным колодцам и кабельным сетям, обеспечивает корректировку мощности и проверку качества энергии (включая наличие Все эксплуатационные характеристики, такие как испытание пропускной способности, испытание бесфункционального контроля, испытание пропускной способности с высоким давлением, адаптационные (частота, электрическое давление) и т.д. Тестирование, испытания и т.д.), в том числе запасные части, специализированные инструменты, маркеры, расходные материалы и фотокамеры, которые должны быть переданы в ходе инженерно-переработки Охват технической информацией, закупка забора и строительство, координация после передачи объекта и т.д.","Срок открытия составляет 163 календарных дня, в зависимости от того, что было предписано Контролером, и в конечном итоге узлы сети остаются неизменными.",163,20.05.2023,30.10.2023,2,20,0
